x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
126.9865697,37.5665076,기업,30009,본부총괄,서울특별시 중구 을지로2가 50,서울시 중구 을지로2가 50
126.9865516,37.566501,기업,30012,영업부,서울특별시 중구 을지로 79 기업은행,서울특별시 중구 을지로 79
126.9987894,37.5710883,기업,30025,동대문（지）,서울특별시 종로구 종로 189 IBK기업은행,서울특별시 종로구 종로 189 (종로4가)
127.0756768,37.6591873,기업,30038,상계역（지）,서울특별시 노원구 덕릉로 690 기업은행,서울특별시 노원구 덕릉로 690
127.0137753,37.648693,기업,30041,수유동（지）,서울특별시 강북구 삼양로 511 기업은행,서울특별시 강북구 삼양로 511
127.0207768,37.619803,기업,30054,삼양동（지）,서울특별시 강북구 솔샘로 253 기업은행삼양동지점,서울특별시 강북구 솔샘로 253
127.0294686,37.6131571,기업,30067,미아동（지）,서울특별시 강북구 도봉로 45 숭인시장,서울특별시 강북구 도봉로 45
127.0347855,37.6478973,기업,30070,쌍문역（지）,서울특별시 도봉구 도봉로 476 삼성쉐르빌퍼스티,서울특별시 도봉구 도봉로 476
127.0419213,37.6654969,기업,30083,방학동（지）,서울특별시 도봉구 도봉로 683,서울특별시 도봉구 도봉로 683
126.8637022,37.556159,기업,30096,염창동（지）,서울특별시 강서구 양천로 588,서울특별시 강서구 양천로 588
127.0570499,37.6112201,기업,30106,장위동（지）,서울특별시 성북구 화랑로 251 기업은행 장위동지점,서울특별시 성북구 화랑로 251
127.0345007,37.5998154,기업,30119,종암동（지）,서울특별시 성북구 종암로 108 기업은행종암동지점,서울특별시 성북구 종암로 108
127.0161837,37.5930444,기업,30122,돈암동（지）,서울특별시 성북구 아리랑로 3 기업은행,서울특별시 성북구 아리랑로 3
126.8533454,37.5214369,기업,30135,신정동（지）,서울특별시 양천구 신월로 291,서울특별시 양천구 신월로 291
127.0848896,37.587558,기업,30148,면목동（지）,서울특별시 중랑구 겸재로 154 태양빌딩,서울특별시 중랑구 겸재로 154
127.0487807,37.5703887,기업,30151,답십리（지）,서울특별시 동대문구 천호대로 233 중소기업은행답십리지점,서울특별시 동대문구 천호대로 233
127.056289,37.5900475,기업,30164,회기역,서울특별시 동대문구 이문로 30,서울특별시 동대문구 이문로 30
127.0446271,37.580476,기업,30177,청량리（지）,서울특별시 동대문구 홍릉로 1 기업은행 청량리지점,서울특별시 동대문구 홍릉로 1
127.0244887,37.5757399,기업,30180,신설동（지）,서울특별시 동대문구 왕산로 6,서울특별시 동대문구 왕산로 6
127.0707991,37.5721658,기업,30193,장안동（지）,서울특별시 동대문구 답십리로 276,서울특별시 동대문구 답십리로 276
126.9297483,37.6102538,기업,30203,불광역（지）,서울특별시 은평구 통일로 725 기업은행,서울특별시 은평구 통일로 725
127.0148396,37.5731061,기업,30216,창신동（지）,서울특별시 종로구 종로 335 원풍빌딩,서울특별시 종로구 종로 335
127.0087438,37.5704485,기업,30229,종로６가（지）,서울특별시 종로구 청계천로 279,서울특별시 종로구 청계천로 279
126.9892603,37.5699228,기업,30232,종로（지）,서울특별시 종로구 종로 104 YBM,서울특별시 종로구 종로 104
126.9853968,37.5721075,기업,30245,인사동（지）,서울특별시 종로구 인사동5길 25 하나로빌딩,서울특별시 종로구 인사동5길 25
127.0825917,37.5563874,기업,30258,중곡동（지）,서울특별시 광진구 천호대로 579 DS빌딩,서울특별시 광진구 천호대로 579
127.0610256,37.5434528,기업,30261,성수희망,서울특별시 성동구 아차산로 153 예림출판문화센터,서울특별시 성동구 아차산로 153
127.0551064,37.5439559,기업,30274,성수동（지）,서울특별시 성동구 연무장7길 16 한서빌딩,서울특별시 성동구 연무장7길 16
127.1072316,37.5494527,기업,30287,워커힐（지）,서울특별시 광진구 아차산로 635 워커힐아파트,서울특별시 광진구 아차산로 635
127.0671651,37.5605336,기업,30290,장한평,서울특별시 성동구 자동차시장1길 85 JS 빌딩,서울특별시 성동구 자동차시장1길 85
127.02047,37.5659814,기업,30300,신당역,서울특별시 중구 퇴계로 439 기업은행성동지점,서울특별시 중구 퇴계로 439
127.008485,37.5681125,기업,30313,을지６가（지）,서울특별시 중구 장충단로 263 밀리오레상가건물,서울특별시 중구 장충단로 263
127.0004415,37.5690537,기업,30326,청계５가（지）,서울특별시 중구 청계천로 206,서울특별시 중구 청계천로 206－1
126.9978099,37.5625107,기업,30339,퇴계로（지）,서울특별시 중구 퇴계로 235 남산 센트럴 자이,서울특별시 중구 퇴계로 235
126.9958164,37.5635569,기업,30342,을지로（지）,서울특별시 중구 마른내로 72 인현상가,서울특별시 중구 마른내로 72
126.9795663,37.5676301,기업,30355,무교（지）,서울특별시 중구 무교로 20 어린이재단,서울특별시 중구 무교로 20
126.9772055,37.5605781,기업,30368,남대문시장（지,서울특별시 중구 남대문로 12 영화빌딩,서울특별시 중구 남대문로 12
126.9732616,37.5586483,기업,30371,남대문（지）,서울특별시 중구 세종대로 17 WISE TOWER,서울특별시 중구 세종대로 17
126.9746294,37.5629444,기업,30384,서소문（지）,서울특별시 중구 서소문로 120 ENA Centrr,서울특별시 중구 서소문로 120
127.0297489,37.5704654,기업,30397,청계８가（지）,서울특별시 동대문구 청계천로 471 청계천 대성 스카이렉스2,서울특별시 동대문구 청계천로 471
126.9454865,37.5880483,기업,30407,홍제동（지）,서울특별시 서대문구 통일로 436,서울특별시 서대문구 통일로 436
126.9141302,37.598546,기업,30410,응암역（지）,서울특별시 은평구 은평로 56 안건빌딩,서울특별시 은평구 은평로 56
126.9311885,37.5675341,기업,30423,연희동（지）,서울특별시 서대문구 연희로 107,서울특별시 서대문구 연희로 107－1
126.9340502,37.5565029,기업,30436,신촌（지）,서울특별시 서대문구 신촌로 67 거촌빌딩,서울특별시 서대문구 신촌로 67
126.9568237,37.5594111,기업,30449,북아현동（지）,서울특별시 서대문구 북아현로 22 기업은행,서울특별시 서대문구 북아현로 22
126.9129261,37.5824308,기업,30452,북가좌동（지）,서울특별시 서대문구 응암로 107 기업은행,서울특별시 서대문구 응암로 107
126.936495,37.5826168,기업,30465,홍은동（지）,서울특별시 서대문구 연희로 286 연희127빌딩,서울특별시 서대문구 연희로 286
126.9520304,37.544798,기업,30478,마포（지）,서울특별시 마포구 마포대로 114,서울특별시 마포구 마포대로 114
126.9113125,37.554325,기업,30481,서교동（지）,서울특별시 마포구 월드컵로 59,서울특별시 마포구 월드컵로 59
126.9328246,37.5524791,기업,30494,신수동（지）,서울특별시 마포구 서강로 105 화일빌딩,서울특별시 마포구 서강로 105
126.8634405,37.5325428,기업,30504,목동사거리,서울특별시 강서구 등촌로 29 기업은행화곡동지점,서울특별시 강서구 등촌로 29
126.8671864,37.5493143,기업,30517,등촌역,서울특별시 양천구 공항대로 556,서울특별시 양천구 공항대로 556
126.8170516,37.5669962,기업,30520,마곡신방화역,서울특별시 강서구 방화대로 294 마곡더블유타워,서울특별시 강서구 방화대로 294
126.873771,37.524985,기업,30533,오목교역　（지）,서울특별시 양천구 오목로 325,서울특별시 양천구 오목로 325
127.0332324,37.4993145,기업,30546,테헤란로　（지）,서울특별시 강남구 테헤란로 132 한독약품빌딩,서울특별시 강남구 테헤란로 132
126.999424,37.5281336,기업,30559,보광동（지）,서울특별시 용산구 보광로 42 중소기업은행,서울특별시 용산구 보광로 42
126.9937428,37.5340779,기업,30562,이태원（지）,서울특별시 용산구 보광로 127 유영빌딩,서울특별시 용산구 보광로 127
126.9731941,37.5418391,기업,30575,용산（지）,서울특별시 용산구 한강대로 264,서울특별시 용산구 한강대로 264－1
126.9876256,37.5389213,기업,30588,용산중앙　（지）,서울특별시 용산구 녹사평대로 240 기업은행,서울특별시 용산구 녹사평대로 240
127.0289101,37.5261009,기업,30591,압구정동（지）,서울특별시 강남구 논현로 868 구정빌딩,서울특별시 강남구 논현로 868
127.1269582,37.5378919,기업,30601,천호동（지）,서울특별시 강동구 천호대로 1033 강동빌딩,서울특별시 강동구 천호대로 1033
127.0230737,37.5113625,기업,30614,논현역（지）,서울특별시 강남구 학동로 110 세원빌딩,서울특별시 강남구 학동로 110
127.1076722,37.5140452,기업,30627,잠실（지）,서울특별시 송파구 오금로 91 태원빌딩,서울특별시 송파구 오금로 91
127.034915,37.5222802,기업,30630,언주로,서울특별시 강남구 도산대로 307 백영빌딩,서울특별시 강남구 도산대로 307
127.0269011,37.4985083,기업,30643,강남역,서울특별시 서초구 강남대로 403,서울특별시 서초구 강남대로 403
127.0476932,37.5036985,기업,30656,선릉역（지）,서울특별시 강남구 테헤란로 328 동우빌딩,서울특별시 강남구 테헤란로 328
127.0233419,37.5044336,기업,30669,서초동（지）,서울특별시 서초구 사평대로 369 유성빌딩,서울특별시 서초구 사평대로 369
127.0000391,37.5049623,기업,30672,반포（지）,서울특별시 서초구 신반포로 143 경남쇼핑센터,서울특별시 서초구 신반포로 143
127.0425492,37.5145372,기업,30685,강남구청역（지）,서울특별시 강남구 선릉로 648 세림테크빌딩,서울특별시 강남구 선릉로 648
127.0815962,37.5133051,기업,30698,잠실엘스,서울특별시 송파구 올림픽로 99 잠실엘스,서울특별시 송파구 올림픽로 99
126.9493701,37.4813137,기업,30708,서울대역（지）,서울특별시 관악구 남부순환로 1794 미주오피스텔,서울특별시 관악구 남부순환로 1794
126.9404767,37.5088257,기업,30711,노량진（지）,서울특별시 동작구 장승배기로 128 동창빌딩,서울특별시 동작구 장승배기로 128
126.981245,37.4789397,기업,30724,사당역（지）,서울특별시 동작구 동작대로 27 한양빌딩,서울특별시 동작구 동작대로 27
126.9988993,37.4812664,기업,30737,방배동（지）,서울특별시 서초구 효령로34길 4,서울특별시 서초구 효령로34길 4
126.9109005,37.4808508,기업,30740,신림동（지）,서울특별시 관악구 남부순환로 1440 제이타워웨딩홀,서울특별시 관악구 남부순환로 1440
126.9665452,37.4756162,기업,30753,낙성대,서울특별시 관악구 남부순환로 1962 정호진아트힐,서울특별시 관악구 남부순환로 1962
126.9172502,37.5116795,기업,30766,신길동（지）,서울특별시 영등포구 도신로60길 1,서울특별시 영등포구 도신로60길 1
126.9057378,37.5175585,기업,30779,영등포（지）,서울특별시 영등포구 영중로 13,서울특별시 영등포구 영중로 13
126.8983817,37.4839844,기업,30782,구로동（지）,서울특별시 구로구 디지털로32길 55,서울특별시 구로구 디지털로32길 55
126.9009935,37.4550333,기업,30795,시흥동（지）,서울특별시 금천구 시흥대로 236 와이즈 플레이스,서울특별시 금천구 시흥대로 236
126.8955676,37.4733693,기업,30805,독산동（지）,서울특별시 금천구 가산로 78 기업은행,서울특별시 금천구 가산로 78
126.8562828,37.4911344,기업,30818,개봉동（지）,서울특별시 구로구 개봉로 60,서울특별시 구로구 개봉로 60
126.927739,37.5243098,기업,30821,여의도（지）,서울특별시 영등포구 여의나루로 81,서울특별시 영등포구 여의나루로 81
126.8966006,37.492522,기업,30834,문래동（지）,서울특별시 영등포구 도림로 128,서울특별시 영등포구 도림로 128
126.8640338,37.4976005,기업,30847,고척동（지）,서울특별시 구로구 경인로 397 골든타워빌딩,서울특별시 구로구 경인로 397
126.8520568,37.5013838,기업,30850,개봉북（지）,서울특별시 구로구 경인로35길 113,서울특별시 구로구 경인로35길 113－8
127.0210984,37.5709405,기업,30863,청계７가（지）,서울특별시 중구 청계천로 400 롯데캐슬베네치아,서울특별시 중구 청계천로 400
126.9581993,37.5746362,기업,30876,독립문（지）,서울특별시 종로구 통일로 246-1,서울특별시 종로구 통일로 246－10
127.1381193,37.5346159,기업,30889,길동（지）,서울특별시 강동구 천호대로 1139 강동그린타워,서울특별시 강동구 천호대로 1139
126.9042353,37.5268179,기업,30892,당산동（지）,서울특별시 영등포구 영신로 220 KnK디지털타워,서울특별시 영등포구 영신로 220
126.8206887,37.4923412,기업,31066,온수역（지）,서울특별시 구로구 부일로1길 26-11,서울특별시 구로구 부일로1길 26－13
127.0316776,37.4932143,기업,31299,역삼중앙（지）,서울특별시 강남구 역삼로 114 현죽빌딩,서울특별시 강남구 역삼로 114
127.0819291,37.5622609,기업,31309,중곡중앙（지）,서울특별시 광진구 긴고랑로 52 통일회관,서울특별시 광진구 긴고랑로 52
127.0660606,37.5101607,기업,31312,삼성역,서울특별시 강남구 테헤란로 625 덕명빌딩,서울특별시 강남구 테헤란로 625
127.107947,37.5049144,기업,31325,송파（지）,서울특별시 송파구 송파대로 422 영빌딩,서울특별시 송파구 송파대로 422
127.0622565,37.6549543,기업,31338,노원역　（지）,서울특별시 노원구 노해로 489 IBK기업은행,서울특별시 노원구 노해로 489
126.8810465,37.4772196,기업,31370,가산디지털중앙,서울특별시 금천구 가산디지털2로 98 IT캐슬,서울특별시 금천구 가산디지털2로 98
126.9013007,37.5344737,기업,31406,당산역（지）,서울특별시 영등포구 양평로 48 다옥빌딩,서울특별시 영등포구 양평로 48
126.8887471,37.5183002,기업,31419,문래중앙（지）,서울특별시 영등포구 선유로 49 미주프라자아파트,서울특별시 영등포구 선유로 49
126.8772205,37.5048834,기업,31477,구로중앙（지）,서울특별시 구로구 구로중앙로 215,서울특별시 구로구 구로중앙로 215
126.9838477,37.5609725,기업,31480,명동역（지）,서울특별시 중구 퇴계로 109,서울특별시 중구 퇴계로 109
126.8982205,37.4981037,기업,31493,대림동（지）,서울특별시 영등포구 대림로 195,서울특별시 영등포구 대림로 195
127.0322979,37.5861568,기업,32010,안암동（지）,서울특별시 성북구 안암로 119 한국화학회관,서울특별시 성북구 안암로 119
126.9235091,37.58466,기업,32023,남가좌동（지）,서울특별시 서대문구 가좌로 143 기업은행남가좌동지점,서울특별시 서대문구 가좌로 143
126.8894159,37.4951564,기업,32036,구로사랑,서울특별시 구로구 구로중앙로 60 대림오페라타워,서울특별시 구로구 구로중앙로 60
127.0790825,37.6231609,기업,32049,공릉동（지）,서울특별시 노원구 공릉로 147 기업은행 공릉동지점,서울특별시 노원구 공릉로 147
126.9021056,37.5072759,기업,32052,도림동（출）,서울특별시 영등포구 도신로 89,서울특별시 영등포구 도신로 89
126.9166499,37.4851156,기업,32065,신대방역（지）,서울특별시 관악구 조원로 128,서울특별시 관악구 조원로 128
126.9037626,37.4378019,기업,32078,석수역,서울특별시 금천구 시흥대로 46 중앙철재종합상가,서울특별시 금천구 시흥대로 46
126.9226634,37.5556138,기업,32081,홍대역（지）,서울특별시 마포구 양화로 148 교정공제회 동교빌딩,서울특별시 마포구 양화로 148
126.9285178,37.4826069,기업,32094,신림역（지）,서울특별시 관악구 신림로59길 23 삼모스포렉스,서울특별시 관악구 신림로59길 23
126.896294,37.5822588,기업,32104,수색（지）,서울특별시 은평구 수색로 256,서울특별시 은평구 수색로 256
127.0619025,37.4933481,기업,32117,대치역（지）,서울특별시 강남구 남부순환로 2936 윈플러스상가,서울특별시 강남구 남부순환로 2936
127.0783787,37.6056618,기업,32120,중화동（지）,서울특별시 중랑구 동일로 843 유림빌딩,서울특별시 중랑구 동일로 843
127.0103846,37.5537786,기업,32133,약수동（지）,서울특별시 중구 다산로 112 신양빌딩,서울특별시 중구 다산로 112
126.8441934,37.4965217,기업,32146,오류동（지）,서울특별시 구로구 경인로 211,서울특별시 구로구 경인로 211
127.0921359,37.5028995,기업,32159,삼전동（지）,서울특별시 송파구 백제고분로 232 남양빌딩,서울특별시 송파구 백제고분로 232
127.0144726,37.4873284,기업,32162,서초남（지）,서울특별시 서초구 서초중앙로 63 리더스빌딩,서울특별시 서초구 서초중앙로 63
127.040184,37.5094901,기업,32175,삼성동（지）,서울특별시 강남구 봉은사로 303 TGL 경복빌딩,서울특별시 강남구 봉은사로 303
127.062539,37.5401569,기업,32188,성수２가（지）,서울특별시 성동구 동일로 81 기업은행,서울특별시 성동구 동일로 81
126.8955676,37.4733693,기업,32191,독산중앙　（지）,서울특별시 금천구 가산로 78 기업은행,서울특별시 금천구 가산로 78
126.9449483,37.5384163,기업,32201,마포역,서울특별시 마포구 마포대로 20 다보빌딩,서울특별시 마포구 마포대로 20 1층
126.9226748,37.5281911,기업,32214,서여의도（지）,서울특별시 영등포구 은행로 30 중소기업중앙회,서울특별시 영등포구 은행로 30
126.8910517,37.5811215,기업,32227,ＭＢＣ（지）,서울특별시 마포구 성암로 267 (주)문화방송,서울특별시 마포구 성암로 267
126.8845099,37.4897995,기업,32269,남구로（지）,서울특별시 구로구 구로동로 126,서울특별시 구로구 구로동로 126－2
127.0116513,37.4934093,기업,32337,교대역　（지）,서울특별시 서초구 서초대로 275 중앙빌딩,서울특별시 서초구 서초대로 275
127.0574237,37.6647987,기업,32366,마들역（지）,서울특별시 노원구 동일로 1527 기업은행,서울특별시 노원구 동일로 1527
127.0450827,37.5236015,기업,32447,청담동（지）,서울특별시 강남구 도산대로 446 경원오피스텔,서울특별시 강남구 도산대로 446
127.1267509,37.5087273,기업,32502,방이역（지）,서울특별시 송파구 마천로5길 4 삼대양빌딩,서울특별시 송파구 마천로5길 4
127.044368,37.476644,기업,32573,양재동（지）,서울특별시 서초구 마방로10길 25 트윈타워,서울특별시 서초구 마방로10길 25
127.0697566,37.5404987,기업,32612,건대역（지）,서울특별시 광진구 아차산로 237 삼진빌딩,서울특별시 광진구 아차산로 237
127.0236689,37.5181789,기업,32748,신사동（지）,서울특별시 강남구 도산대로 139 제이타워,서울특별시 강남구 도산대로 139
127.004029,37.5824707,기업,32777,대학로（지）,서울특별시 종로구 동숭길 101 현대엘리베이터(주),서울특별시 종로구 동숭길 101번길
127.0436069,37.5668425,기업,32816,마장동（지）,서울특별시 성동구 마장로 309 기업은행,서울특별시 성동구 마장로 309
127.0814033,37.6701779,기업,32829,당고개역（지）,서울특별시 노원구 덕릉로 826 기업은행,서울특별시 노원구 덕릉로 826
126.9661148,37.5324705,기업,32845,용산전자（지）,서울특별시 용산구 청파로20길 34 선인상가,서울특별시 용산구 청파로20길 34
126.9311392,37.6010321,기업,33019,응암동（지）,서울특별시 은평구 은평로 210 AGM빌딩,서울특별시 은평구 은평로 210
126.9827566,37.4886226,기업,33022,이수역（지）,서울특별시 서초구 동작대로 134 도림빌딩,서울특별시 서초구 동작대로 134
126.8926714,37.480823,기업,33080,구로디지털중앙,서울특별시 구로구 디지털로 242 한화비즈메트로1차,서울특별시 구로구 디지털로 242
127.0243652,37.6373344,기업,33103,수유역（지）,서울특별시 강북구 도봉로 325 수성타워,서울특별시 강북구 도봉로 325
126.8415158,37.5671859,기업,33116,가양동（지）,서울특별시 강서구 강서로 468 테크노타워,서울특별시 강서구 강서로 468
127.072599,37.6257939,기업,33174,공릉역　（지）,서울특별시 노원구 동일로 1073 기업은행,서울특별시 노원구 동일로 1073
126.8704337,37.5216275,기업,33213,목동　쉐르빌（지）,서울특별시 양천구 목동동로 177 삼성쉐르빌2,서울특별시 양천구 목동동로 177
127.1193407,37.4931774,기업,33239,가락동（지）,서울특별시 송파구 중대로 97 효원빌딩,서울특별시 송파구 중대로 97
127.0071403,37.4830306,기업,33271,서초３동（지）,서울특별시 서초구 효령로 210 라이온스회관,서울특별시 서초구 효령로 210
126.901495,37.4438361,기업,33336,시흥유통센터（지）,서울특별시 금천구 시흥대로 97 시흥유통상가,서울특별시 금천구 시흥대로 97
127.0568411,37.5073815,기업,33378,무역센터（지）,서울특별시 강남구 테헤란로 501 브이플렉스,서울특별시 강남구 테헤란로 501
127.051717,37.4994574,기업,33433,한티역,서울특별시 강남구 선릉로 332 기업은행 도곡동지점,서울특별시 강남구 선릉로 332
127.0873065,37.5446773,기업,33488,구의동（지）,서울특별시 광진구 광나루로 520 신용보증기금,서울특별시 광진구 광나루로 520
127.0393183,37.4915699,기업,33909,역삼남（지）,서울특별시 강남구 도곡로 182 양제벤처타워,서울특별시 강남구 도곡로 182
127.1278623,37.5501857,기업,34063,암사역（지）,서울특별시 강동구 올림픽로 774,서울특별시 강동구 올림픽로 774
126.8939975,37.4849906,기업,34209,구로디지털,서울특별시 구로구 디지털로31길 19 에이스테크노타워Ⅱ,서울특별시 구로구 디지털로31길 19
126.9865697,37.5665076,기업,34403,종합상황실１,서울특별시 중구 을지로2가 50,서울 중구 을지로2가 50번지
127.0510702,37.4870848,기업,34487,도곡팰리스,서울특별시 강남구 언주로 122 우성캐릭터빌,서울특별시 강남구 언주로 122
127.0438086,37.5033409,기업,34490,한국기술센터출장소,서울특별시 강남구 테헤란로 305 한국기술센터,서울특별시 강남구 테헤란로 305
127.1232003,37.5291837,기업,34759,강동구청역（지）,서울특별시 강동구 성내로6길 11 삼원타워,서울특별시 강동구 성내로6길 11
127.0519209,37.5050202,기업,34775,테헤란로중앙（지）,서울특별시 강남구 테헤란로 416 연봉빌딩,서울특별시 강남구 테헤란로 416
126.882596,37.4798515,기업,34788,가산디지털역（지）,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리,서울특별시 금천구 가산디지털1로 168
