index,은행코드,은행명,점포명,주소_변환,주소,x_axis,y_axis
0,0030009,기업,본부총괄,서울시 중구 을지로2가 50,서울특별시 중구 을지로2가 50,126.9865697,37.5665076
1,0030012,기업,영업부,서울특별시 중구 을지로 79,서울특별시 중구 을지로 79 기업은행,126.9865516,37.566501
2,0030025,기업,동대문（지）,서울특별시 종로구 종로 189 (종로4가),서울특별시 종로구 종로 189 IBK기업은행,126.9987894,37.5710883
3,0030038,기업,상계역（지）,서울특별시 노원구 덕릉로 690,서울특별시 노원구 덕릉로 690 기업은행,127.0756768,37.6591873
4,0030041,기업,수유동（지）,서울특별시 강북구 삼양로 511,서울특별시 강북구 삼양로 511 기업은행,127.0137753,37.648693
5,0030054,기업,삼양동（지）,서울특별시 강북구 솔샘로 253,서울특별시 강북구 솔샘로 253 기업은행삼양동지점,127.0207768,37.619803
6,0030067,기업,미아동（지）,서울특별시 강북구 도봉로 45,서울특별시 강북구 도봉로 45 숭인시장,127.0294686,37.6131571
7,0030070,기업,쌍문역（지）,서울특별시 도봉구 도봉로 476,서울특별시 도봉구 도봉로 476 삼성쉐르빌퍼스티,127.0347855,37.6478973
8,0030083,기업,방학동（지）,서울특별시 도봉구 도봉로 683,서울특별시 도봉구 도봉로 683,127.0419213,37.6654969
9,0030096,기업,염창동（지）,서울특별시 강서구 양천로 588,서울특별시 강서구 양천로 588,126.8637022,37.556159
10,0030106,기업,장위동（지）,서울특별시 성북구 화랑로 251,서울특별시 성북구 화랑로 251 기업은행 장위동지점,127.0570499,37.6112201
11,0030119,기업,종암동（지）,서울특별시 성북구 종암로 108,서울특별시 성북구 종암로 108 기업은행종암동지점,127.0345007,37.5998154
12,0030122,기업,돈암동（지）,서울특별시 성북구 아리랑로 3,서울특별시 성북구 아리랑로 3 기업은행,127.0161837,37.5930444
13,0030135,기업,신정동（지）,서울특별시 양천구 신월로 291,서울특별시 양천구 신월로 291,126.8533454,37.5214369
14,0030148,기업,면목동（지）,서울특별시 중랑구 겸재로 154,서울특별시 중랑구 겸재로 154 태양빌딩,127.0848896,37.587558
15,0030151,기업,답십리（지）,서울특별시 동대문구 천호대로 233,서울특별시 동대문구 천호대로 233 중소기업은행답십리지점,127.0487807,37.5703887
16,0030164,기업,회기역,서울특별시 동대문구 이문로 30,서울특별시 동대문구 이문로 30,127.056289,37.5900475
17,0030177,기업,청량리（지）,서울특별시 동대문구 홍릉로 1,서울특별시 동대문구 홍릉로 1 기업은행 청량리지점,127.0446271,37.580476
18,0030180,기업,신설동（지）,서울특별시 동대문구 왕산로 6,서울특별시 동대문구 왕산로 6,127.0244887,37.5757399
19,0030193,기업,장안동（지）,서울특별시 동대문구 답십리로 276,서울특별시 동대문구 답십리로 276,127.0707991,37.5721658
20,0030203,기업,불광역（지）,서울특별시 은평구 통일로 725,서울특별시 은평구 통일로 725 기업은행,126.9297483,37.6102538
21,0030216,기업,창신동（지）,서울특별시 종로구 종로 335,서울특별시 종로구 종로 335 원풍빌딩,127.0148396,37.5731061
22,0030229,기업,종로６가（지）,서울특별시 종로구 청계천로 279,서울특별시 종로구 청계천로 279,127.0087438,37.5704485
23,0030232,기업,종로（지）,서울특별시 종로구 종로 104,서울특별시 종로구 종로 104 YBM,126.9892603,37.5699228
24,0030245,기업,인사동（지）,서울특별시 종로구 인사동5길 25,서울특별시 종로구 인사동5길 25 하나로빌딩,126.9853968,37.5721075
25,0030258,기업,중곡동（지）,서울특별시 광진구 천호대로 579,서울특별시 광진구 천호대로 579 DS빌딩,127.0825917,37.5563874
26,0030261,기업,성수희망,서울특별시 성동구 아차산로 153,서울특별시 성동구 아차산로 153 예림출판문화센터,127.0610256,37.5434528
27,0030274,기업,성수동（지）,서울특별시 성동구 연무장7길 16,서울특별시 성동구 연무장7길 16 한서빌딩,127.0551064,37.5439559
28,0030287,기업,워커힐（지）,서울특별시 광진구 아차산로 635,서울특별시 광진구 아차산로 635 워커힐아파트,127.1072316,37.5494527
29,0030290,기업,장한평,서울특별시 성동구 자동차시장1길 85,서울특별시 성동구 자동차시장1길 85 JS 빌딩,127.0671651,37.5605336
